Product Handle,Product Title,Product Status,Product Description,Product Thumbnail,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Category 1,Product Category 2,Product Category 3,Product Tag 1,Product Tag 2,Product Tag 3,Product Discountable,Variant Title,Variant Sku,Variant Price KRW,Variant Option 1 Name,Variant Option 1 Value,Variant Manage Inventory,Variant Allow Backorder
drawy-make-반영구-옴브레-엠보-수지-겸용-색소-15ml,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,draft,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,https://almondyoung.com/web/product/medium/202502/fccb3bfb0d5736692a0753428ff818f0.jpg,,,,,,,,,신상품,속눈썹,,true,카멜 브라운,01999b23-1c40-73ab-8b62-a2222bf3eff5,38000,,,true,false
drawy-make-반영구-옴브레-엠보-수지-겸용-색소-15ml,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,draft,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,https://almondyoung.com/web/product/medium/202502/fccb3bfb0d5736692a0753428ff818f0.jpg,,,,,,,,,,,,,토피 브라운,01999b23-1d7b-74ed-ab05-8c4c8e65f40b,38000,,,true,false
drawy-make-반영구-옴브레-엠보-수지-겸용-색소-15ml,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,draft,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,https://almondyoung.com/web/product/medium/202502/fccb3bfb0d5736692a0753428ff818f0.jpg,,,,,,,,,,,,,올리브 브라운,01999b23-1eb3-7662-83c3-e7183606ae29,38000,,,true,false
drawy-make-반영구-옴브레-엠보-수지-겸용-색소-15ml,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,draft,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,https://almondyoung.com/web/product/medium/202502/fccb3bfb0d5736692a0753428ff818f0.jpg,,,,,,,,,,,,,마룬 브라운,01999b23-1feb-75ba-9bfa-bd8104d0427f,38000,,,true,false
drawy-make-반영구-옴브레-엠보-수지-겸용-색소-15ml,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,draft,Drawy make 반영구 옴브레 엠보 수지 겸용 색소 15ml,https://almondyoung.com/web/product/medium/202502/fccb3bfb0d5736692a0753428ff818f0.jpg,,,,,,,,,,,,,토프 브라운,01999b23-2124-76eb-839a-ea56e0bf17b4,38000,,,true,false
drawy-make-믹싱-중화-색소-12ml,Drawy make 믹싱 중화 색소 12ml,draft,Drawy make 믹싱 중화 색소 12ml,https://almondyoung.com/web/product/medium/202502/dae56d58c4b19a3ac3cf66281519bc10.jpg,,,,,,,,,신상품,속눈썹,,true,마리골드 옐로우,01999b23-186f-70bf-8a7f-0ede7585dfb6,35000,,,true,false
drawy-make-믹싱-중화-색소-12ml,Drawy make 믹싱 중화 색소 12ml,draft,Drawy make 믹싱 중화 색소 12ml,https://almondyoung.com/web/product/medium/202502/dae56d58c4b19a3ac3cf66281519bc10.jpg,,,,,,,,,,,,,퍼시몬 오렌지,01999b23-19a8-7080-82db-23f281dde610,35000,,,true,false
drawy-make-헤어스트록-색소-12ml,Drawy make 헤어스트록 색소 12ml,draft,Drawy make 헤어스트록 색소 12ml,https://almondyoung.com/web/product/medium/202502/0215cea8021e62f3cf9100cfb43abb45.jpg,,,,,,,,,신상품,속눈썹,,true,코낙 브라운,01999b23-14a1-776f-bb5c-3d2c41a4943b,40000,,,true,false
drawy-make-헤어스트록-색소-12ml,Drawy make 헤어스트록 색소 12ml,draft,Drawy make 헤어스트록 색소 12ml,https://almondyoung.com/web/product/medium/202502/0215cea8021e62f3cf9100cfb43abb45.jpg,,,,,,,,,,,,,쿠퍼 브라운,01999b23-15dd-70dd-9ee2-4d395976098f,40000,,,true,false
drawy-make-헤어스트록-색소-12ml,Drawy make 헤어스트록 색소 12ml,draft,Drawy make 헤어스트록 색소 12ml,https://almondyoung.com/web/product/medium/202502/0215cea8021e62f3cf9100cfb43abb45.jpg,,,,,,,,,,,,,애쉬 브라운,01999b23-171d-748e-b6cf-a47041a1389f,40000,,,true,false
drawy-make-립-입술-색소-12ml,Drawy make 립 입술 색소 12ml,draft,Drawy make 립 입술 색소 12ml,https://almondyoung.com/web/product/medium/202502/14a5043e057ec613465bc14b6c2557a9.jpg,,,,,,,,,신상품,속눈썹,,true,스칼렛 레드,01999b23-10b1-72f9-9cdd-703055bf1809,35000,,,true,false
drawy-make-립-입술-색소-12ml,Drawy make 립 입술 색소 12ml,draft,Drawy make 립 입술 색소 12ml,https://almondyoung.com/web/product/medium/202502/14a5043e057ec613465bc14b6c2557a9.jpg,,,,,,,,,,,,,펀치 오렌지,01999b23-11e9-76cf-81c0-c92f2b240578,35000,,,true,false
drawy-make-립-입술-색소-12ml,Drawy make 립 입술 색소 12ml,draft,Drawy make 립 입술 색소 12ml,https://almondyoung.com/web/product/medium/202502/14a5043e057ec613465bc14b6c2557a9.jpg,,,,,,,,,,,,,피오니 핑크,01999b23-132a-769d-81e7-499299e60d8d,35000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,신상품,속눈썹,,true,[액상 머신용] 101 시그니처 블랙,01999b23-0cbd-7616-8863-80c14913c253,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 201 미드나잇 브라운,01999b23-0dec-73f0-aaf1-63e921c1a385,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 202 스모크 브라운,01999b23-0f17-779d-98b4-20ee0c74839d,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 203 다크 초코렛,01999b23-105c-762e-b360-cc4b7de28d51,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 204 초코렛,01999b23-118b-775a-95ea-584dba0bd7d0,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 205 브라운 시럽,01999b23-12b7-745e-8a40-8223f212ba53,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 206 체스넛 브라운,01999b23-13e5-7075-9b80-f38fa365c75b,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 207 캐러멜 브라운,01999b23-1512-713f-b126-f442710c6699,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 208 누드 브라운,01999b23-1645-73eb-a3d4-6d778882a9b5,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 209 올리브 브라운,01999b23-1770-7269-8018-309059de96b7,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 210 올리브,01999b23-189b-74ea-bae2-1e6dd12631b0,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[수지 머신] 301 로즈레드,01999b23-19c8-71a9-a411-becda84063eb,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[수지 머신] 302 레드 블라썸,01999b23-1b09-76ab-8a31-f6f95b39b6ad,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[수지 머신] 303 리얼 레드,01999b23-1c33-73c9-908f-a6ea802bad8a,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[수지 머신] 304 마젠타 핑크,01999b23-1d64-70a8-a57d-3e0fb4c1a13d,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[수지 머신] 305 리얼 핑크,01999b23-1e93-73b9-b45b-0e2185e54b62,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[수지 머신] 306 베이비 핑크,01999b23-1fc2-734f-95aa-c385913999cc,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[수지 머신] 308 만다린 오렌지,01999b23-20ee-76ca-84ab-5bdb5a69617b,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 401 썬셋 옐로우,01999b23-2234-7074-943f-b395137b3b11,25000,,,true,false
래쉬몬스터-organic-오가닉-색소-10ml,래쉬몬스터 Organic 오가닉 색소 10ml,draft,래쉬몬스터 Organic 오가닉 색소 10ml,https://almondyoung.com/web/product/medium/202503/d21d85aa58f14bb4cc2a69342d24c4fa.jpg,,,,,,,,,,,,,[엠보 수지] 402 허니 머스터드,01999b23-2369-757d-968e-304e0194c944,25000,,,true,false
